Fecha|TipoDocumento|NumeroDocumento|Referencia|CodAlmacen|Almacen|Linea|CodArticulo|Articulo|Ingreso|Salida|Saldoacumulado
12/02/2024 0:00:00|DV - Devolucion|21000144|00634284|L07|DEVOLUCION|0|ARPSDL019|SDL EXHIBIDOR CARTONPLAST PARA CARTULINAS|1,000000|0,000000|1,000000
12/02/2024 0:00:00|DV - Devolucion|21000145|00633907|L07|DEVOLUCION|0|ARTACJUEDI086|AC LACING BOY JGO PASADO (MADERA)|24,000000|0,000000|24,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|0|AR1196E12E|STA EXAM GRADE BORRADOR GRANDE CAJA X 12|3,000000|0,000000|3,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|1|AR1912-8|STA COLOR LAPICES LARGOS X 12|12,000000|0,000000|12,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|10|AR88/6-1|STA POINT 88 FINE PEN ESTUCHE X 6 NEON|10,000000|0,000000|10,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|11|AR88/8-04|STA POINT 88 ESTUCHE X 8 UNID.|10,000000|0,000000|10,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|12|AR8810-1|STA POINT 88 EST.X 10  FANCY|10,000000|0,000000|10,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|13|AR8815-1|STA POINT 88 EST.X 15 UNID.|10,000000|0,000000|10,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|14|ARTAC040LC|AC CRAYON JUMBO X 12 LC|12,000000|0,000000|12,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|15|ARTACJUEDI019|AC SET DE SELLOS GOMA EVA|12,000000|0,000000|12,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|16|ARTPE120|UHU PEGALOTODO Nº 12|12,000000|0,000000|12,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|17|ARTAC020|AC MASA GRANULIGHT 4X33GR. BASICOS 072504|6,000000|0,000000|6,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|18|ARTACTE200-A|AC TEMPERA STICK COL BASICOS SETX 7|12,000000|0,000000|12,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|19|ARTPE119|UHU PEGALOTODO Nº 10 CAJA DE 30 TUBOS|3,000000|0,000000|3,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|2|AR275/18-01-5|STA SWING COOL PASTEL DISPLAY X 18 PCS|15,000000|0,000000|15,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|3|AR28812|STA EXAM GRADE LAPIZ 2B X 12 UNID.|2,000000|0,000000|2,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|4|AR318F/411|STA MARATHON BOLIGRAFO PUNTA FINA AZUL|10,000000|0,000000|10,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|5|AR396-8|STA TRIO GRUESO CAJA X 12|12,000000|0,000000|12,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|6|AR4906/2B|STA SWANO LAPIZ CON BORRADOR X 12 2B|8,000000|0,000000|8,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|7|AR70/8-3|STA BOSS PASTEL ESTUCHE X 8 UNID|10,000000|0,000000|10,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|8|AR7015-01-5|STA BOSS DESKSET 15 COLORES|5,000000|0,000000|5,000000
12/02/2024 0:00:00|DV - Devolucion|21000146|00634191|L07|DEVOLUCION|9|AR88/6|STA POINT 88 ESTUCHE X 6 COLORES|10,000000|0,000000|10,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|0|ARTCAFX82LAPLU|CASIO CALCULADORA CIENTIFICA FX-82LA2BK|90,000000|0,000000|90,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|1|ARTCAFX570LAPL|CASIO CALCULADORA CIENTIFICA FX-570LA2|70,000000|0,000000|70,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|10|ARTCAHL815L-W|CASIO CALCU. HL815LWH BOLSI.8 DIGITOS|130,000000|0,000000|130,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|11|ARTCAHL-815L-P|CASIO CALCU. HL815L-PK BOLSI.8 DIGITOS|60,000000|0,000000|60,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|12|ARTCALC160LV-B|CASIO CALCU. LC160LVBLA BOLSI. 8 DIGITOS|30,000000|0,000000|30,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|13|ARTCAMS-20F-W|CASIO CAL.DE MESA MS-20F-W-DP|6,000000|0,000000|6,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|14|ARTCAFX991LA2|CASIO CALCULADORA CIENTIFICA FX-991 LA PLUS-2|5,000000|0,000000|5,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|15|ARTCAMX8B|CASIO CALCU. DE MESA MODELO MX-8B|440,000000|0,000000|440,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|16|ARTCAHL820LV-B|CASIO CALCU. HL820LVBLA BOLSI.8 DIGITOS|70,000000|0,000000|70,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|2|ARTCAFX570LACW|CASIO CALCULADORA CIENTIFICA FX-570 LACW|80,000000|0,000000|80,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|3|ARTCAFX82LACW|CASIO CALCULADORA CIENTIFICA FX-82LACW BLACK|80,000000|0,000000|80,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|4|ARTCAFX991LACW|CASIO CALCULADORA CIENTIFICA FX-991LACW|70,000000|0,000000|70,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|5|ARTCAMW5VWH|CASIO CALCU. D/MESA 8 DIGIT. MW5V BLANCO|20,000000|0,000000|20,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|6|ARTCAMW5VBK|CASIO CALCU. D/MESA 8 DIGIT.MW5V NEGRO|60,000000|0,000000|60,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|7|ARTCAFX350M-2|CASIO CALCU.FX350M-2 CIENTIF.240 FUNCIONES|90,000000|0,000000|90,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|8|ARTCAFX82M-2|CASIO CALCU. FX82M-2 CIENTI. 240 FUNCIONES|70,000000|0,000000|70,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001110|24020017J000001|L01|DISPONIBLE|9|ARTCAHL815L-B|CASIO CALCU. HL815LBLACK BOLSI.8 DIGITOS|490,000000|0,000000|490,000000
12/02/2024 0:00:00|EP - Entrada Compra|21001123|24020004J000001|L01|DISPONIBLE|0|ARPAC101|EXHIBIDOR VACIO PARA AC MINI PACK|12,000000|0,000000|12,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002157|00634513|L03|DISPONIBLE|0|AR1196E12E|STA EXAM GRADE BORRADOR GRANDE CAJA X 12|0,000000|40,000000|313,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002158|00634515|L03|DISPONIBLE|0|ARALX04140/519|ALX PINT.TELA BASICO 37 ML.BLANCO|0,000000|240,000000|371,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002158|00634515|L03|DISPONIBLE|1|ARALX04140/520|ALX PINT.TELA BASICO 37 ML.NEGRO|0,000000|240,000000|994,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002159|00634516|L03|DISPONIBLE|0|AR318F/401|STA MARATHON BOLIGRAFO PUNTA FINA ROJO|0,000000|4000,000000|1700,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002159|00634516|L03|DISPONIBLE|1|AR318F/411|STA MARATHON BOLIGRAFO PUNTA FINA AZUL|0,000000|5340,000000|12008,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002159|00634516|L03|DISPONIBLE|2|AR318F/551|STA MARATHON BOLIGRAFO PUNTA FINA VIOLETA|0,000000|1300,000000|1303,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002159|00634516|L03|DISPONIBLE|3|AR318F/561|STA MARATHON BOLIGRAFO PUNTA FINA ROSADO|0,000000|505,000000|1879,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|0|ARTAC031|AC CORRECTOR OFFICE EN BLISTER|0,000000|216,000000|1752,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|1|ARTAC07360|AC PLASTILINA SOFT GLITTER X 6 UNID.|0,000000|8,000000|124,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|10|ARTACJUEDI035B|AC TITERE PARA DEDO PROFESIONES 2|0,000000|36,000000|304,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|11|ARTACJUEDI093-A|AC JUEGO DE ENCAJE ABECEDARIO  (MADERA)|0,000000|24,000000|472,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|12|ARTACJUEDI093-B|AC JUEGO  DE ENCAJE RELOJ BILINGÃœE (MADERA)|0,000000|12,000000|487,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|13|ARTACJUEDI093-C|AC JGO EDUC. CALENDARIO-RELOJ (MADERA)|0,000000|12,000000|95,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|14|ARTACJUEDI112|AC ROMPECABEZAS  PESCANDO  x 8 PZAS. (MADERA)|0,000000|12,000000|542,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|15|ARTACTIV/H-401|AC ACTIVITY PALETA C/ PELOTA FROG|0,000000|24,000000|22,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|2|ARTAC180|AC FLAUTA DE MATERIAL ABS COLOR MARFIL|0,000000|480,000000|202,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|3|ARTAC181|AC FLAUTA COLOR NEON|0,000000|110,000000|486,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|4|ARTAC261|AC PINCELES PRIMEROS TRAZOS X 3|0,000000|48,000000|648,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|5|ARTACF00025-A|AC STICKERS HADAS X 35 E.V.A|0,000000|24,000000|593,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|6|ARTACF00025-B|AC STICKERS UNICORNIOS X 22 E.V.A.|0,000000|24,000000|568,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|7|ARTACF00025-C|AC STICKERS VIAJE A LAS GALAXIAS X 30 E.V.A.|0,000000|24,000000|490,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|8|ARTACF00025-D|AC STICKERS PIRATAS X 32 E.V.A.|0,000000|24,000000|412,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002160|00634514|L03|DISPONIBLE|9|ARTACF00050B|AC DIAMOND GOTITAS ROSA-ORO #31 SURTIDO|0,000000|48,000000|833,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002161|00634521|L03|DISPONIBLE|0|ARPPE219|UHU REGLA|0,000000|100,000000|2754,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002162|00634522|L03|DISPONIBLE|0|ARPPE219|UHU REGLA|0,000000|100,000000|2654,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002163|00634523|L03|DISPONIBLE|0|ARPPE219|UHU REGLA|0,000000|50,000000|2604,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002164|00634524|L03|DISPONIBLE|0|ARPPE219|UHU REGLA|0,000000|50,000000|2554,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002165|00634525|L03|DISPONIBLE|0|ARPPE219|UHU REGLA|0,000000|100,000000|2454,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002166|00634526|L03|DISPONIBLE|0|ARPPE219|UHU REGLA|0,000000|50,000000|2404,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|0|ARALX03240/501|ALX PINTURA MATE PARA ARTESANIA 37 ML AZUL TURQUESA|0,000000|24,000000|192,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|1|ARALX03240/503|ALX PINTURA MATE PARA ARTESANIA 37 ML AZUL CELESTE|0,000000|24,000000|36,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|10|ARALX03240/519|ALX PINTURA MATE PARA ARTESANIA 37 ML BLANCO|0,000000|36,000000|180,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|11|ARALX03240/520|ALX PINTURA MATE PARA ARTESANIA 37 ML NEGRO|0,000000|36,000000|276,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|12|ARALX03240/526|ALX PINTURA MATE PARA ARTESANIA 37 ML MARRON OSCURO|0,000000|24,000000|24,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|13|ARALX03240/528|ALX PINTURA MATE PARA ARTESANIA 37 ML LILA|0,000000|24,000000|312,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|14|ARALX03240/531|ALX PINTURA MATE PARA ARTESANIA 37 ML MARRON|0,000000|24,000000|180,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|15|ARALX03240/537|ALX PINTURA MATE PARA ARTESANIA 37 ML ROSA|0,000000|24,000000|36,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|16|ARALX03240/549|ALX PINTURA MATE PARA ARTESANIA 37 ML MAGENTA|0,000000|24,000000|36,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|17|ARALX04140/506|ALX PINTURA PARA TELA MATE/37ML CERAMICA|0,000000|12,000000|215,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|18|ARALX04140/519|ALX PINT.TELA BASICO 37 ML.BLANCO|0,000000|12,000000|359,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|19|ARALX03240/541|ALX PINTURA MATE PARA ARTESANIA 37 ML ROJO VIVO|0,000000|36,000000|12,000000
12/02/2024 0:00:00|Salidas - Guia Despacho|2002167|00634565|L03|DISPONIBLE|2|ARALX03240/504|ALX PINTURA MATE PARA ARTESANIA 37 ML AMARILLO LIMON|0,000000|24,000000|24,000000
